Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-08-01,H (Mar 2026),22.3500,22.7200,22.2200,22.2300,22.3473,0.0973,684,0,1239
2025-08-04,H (Mar 2026),22.3600,22.3600,22.2000,22.2500,22.25,-0.0973,63,0,1257
2025-08-05,H (Mar 2026),22.1500,22.4000,22.0600,22.3000,22.30,0.05,174,0,1292
2025-08-06,H (Mar 2026),22.2500,22.3500,22.1300,22.1300,22.1046,-0.1954,25,0,1291
2025-08-07,H (Mar 2026),22.1200,22.2500,22.0000,22.2500,22.2606,0.1560,49,0,1289
2025-08-08,H (Mar 2026),22.1500,22.2500,22.1000,22.2000,22.225,-0.0356,177,0,1343
2025-08-11,H (Mar 2026),22.2500,22.3000,22.2000,22.3000,22.25,0.025,13,0,1345
2025-08-12,H (Mar 2026),22.2500,22.3500,22.0400,22.0400,22.075,-0.175,35,0,1352
2025-08-13,H (Mar 2026),22.0700,22.2000,22.0000,22.1200,22.1709,0.0959,236,0,1376
2025-08-14,H (Mar 2026),22.1400,22.3000,22.1100,22.2200,22.15,-0.0209,109,0,1422
2025-08-15,H (Mar 2026),22.2200,22.4000,22.1500,22.4000,22.3748,0.2248,204,0,1491
2025-08-18,H (Mar 2026),22.5000,22.5000,22.1200,22.2000,22.1667,-0.2081,271,0,1589
2025-08-19,H (Mar 2026),22.1900,22.3200,22.0400,22.2100,22.225,0.0583,510,0,1790
2025-08-20,H (Mar 2026),22.2100,22.4500,22.0000,22.2500,22.3217,0.0967,961,0,1928
2025-08-21,H (Mar 2026),22.2500,22.5100,22.2400,22.3700,22.4096,0.0879,880,0,2130
2025-08-22,H (Mar 2026),22.4000,22.4000,21.5000,21.5600,21.5667,-0.8429,836,0,2177
2025-08-25,H (Mar 2026),21.5500,21.7500,21.5000,21.6600,21.7204,0.1537,766,0,2384
2025-08-26,H (Mar 2026),21.6900,22.0200,21.6600,21.8000,21.85,0.1296,3579,600,4302
2025-08-27,H (Mar 2026),21.8000,22.0000,21.8000,22.0000,21.975,0.125,2325,575,6013
2025-08-28,H (Mar 2026),22.0200,22.0600,21.7000,21.8800,21.8351,-0.1399,1351,0,5065
2025-08-29,H (Mar 2026),21.9100,22.0500,21.7500,22.0200,22.025,0.1899,1147,0,5359
2025-09-02,H (Mar 2026),22.1100,22.3600,22.0300,22.2000,22.2766,0.2516,2763,0,5823
2025-09-03,H (Mar 2026),22.3000,22.3000,22.0700,22.1000,22.125,-0.1516,1081,0,6156
2025-09-04,H (Mar 2026),22.1000,22.1000,21.7500,21.8000,21.7939,-0.3311,887,0,6450
2025-09-05,H (Mar 2026),21.7900,21.9600,21.5500,21.8500,21.875,0.0811,1423,0,6799
2025-09-08,H (Mar 2026),21.8700,21.8700,21.7000,21.7000,21.725,-0.150,1020,0,7086
2025-09-09,H (Mar 2026),21.7000,21.8300,21.5800,21.6100,21.625,-0.100,562,0,7148
